
-------------------------------------------------------------------------------------
Libro ID(1)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(18)############( writes: 7 ; reads: 0 ; totalReads: 16 ; finalVersion: false )
Libro ID(19)############( writes: 3 ; reads: 0 ; totalReads: 8 ; finalVersion: false )
Libro ID(20)############( writes: 7 ; reads: 0 ; totalReads: 12 ; finalVersion: false )
Libro ID(21)############( writes: 1 ; reads: 0 ; totalReads: 19 ; finalVersion: false )
Libro ID(22)############( writes: 5 ; reads: 0 ; totalReads: 7 ; finalVersion: false )
Libro ID(23)############( writes: 5 ; reads: 0 ; totalReads: 8 ; finalVersion: false )
Libro ID(24)############( writes: 8 ; reads: 0 ; totalReads: 5 ; finalVersion: false )
-------------------------------------------------------------------------------------
RESULTADO: [ reviews( 120 ) ; reads( 0 ) ; totalReads( 265 ) ; total( 385 ) ]
-------------------------------------------------------------------------------------

-------------------------------------------------------------------------------------
Libro ID(1)############( writes: 10 ; reads: 3 ; totalReads: 24 ; finalVersion: true )
Libro ID(2)############( writes: 10 ; reads: 0 ; totalReads: 25 ; finalVersion: true )
Libro ID(3)############( writes: 10 ; reads: 1 ; totalReads: 15 ; finalVersion: true )
Libro ID(4)############( writes: 10 ; reads: 0 ; totalReads: 24 ; finalVersion: true )
Libro ID(5)############( writes: 10 ; reads: 2 ; totalReads: 25 ; finalVersion: true )
Libro ID(6)############( writes: 10 ; reads: 6 ; totalReads: 29 ; finalVersion: true )
Libro ID(7)############( writes: 10 ; reads: 5 ; totalReads: 23 ; finalVersion: true )
Libro ID(8)############( writes: 10 ; reads: 5 ; totalReads: 30 ; finalVersion: true )
Libro ID(9)############( writes: 10 ; reads: 8 ; totalReads: 21 ; finalVersion: true )
Libro ID(10)############( writes: 10 ; reads: 1 ; totalReads: 21 ; finalVersion: true )
Libro ID(11)############( writes: 10 ; reads: 3 ; totalReads: 18 ; finalVersion: true )
Libro ID(12)############( writes: 10 ; reads: 1 ; totalReads: 17 ; finalVersion: true )
Libro ID(13)############( writes: 10 ; reads: 5 ; totalReads: 26 ; finalVersion: true )
Libro ID(14)############( writes: 10 ; reads: 3 ; totalReads: 25 ; finalVersion: true )
Libro ID(15)############( writes: 10 ; reads: 1 ; totalReads: 16 ; finalVersion: true )
Libro ID(16)############( writes: 9 ; reads: 0 ; totalReads: 31 ; finalVersion: false )
Libro ID(17)############( writes: 9 ; reads: 0 ; totalReads: 16 ; finalVersion: false )
Libro ID(18)############( writes: 10 ; reads: 3 ; totalReads: 27 ; finalVersion: true )
Libro ID(19)############( writes: 10 ; reads: 4 ; totalReads: 17 ; finalVersion: true )
Libro ID(20)############( writes: 10 ; reads: 6 ; totalReads: 21 ; finalVersion: true )
Libro ID(21)############( writes: 10 ; reads: 1 ; totalReads: 29 ; finalVersion: true )
Libro ID(22)############( writes: 10 ; reads: 3 ; totalReads: 16 ; finalVersion: true )
Libro ID(23)############( writes: 10 ; reads: 1 ; totalReads: 18 ; finalVersion: true )
Libro ID(24)############( writes: 10 ; reads: 6 ; totalReads: 16 ; finalVersion: true )
-------------------------------------------------------------------------------------
RESULTADO: [ reviews( 238 ) ; reads( 68 ) ; totalReads( 530 ) ; total( 768 ) ]
-------------------------------------------------------------------------------------

-------------------------------------------------------------------------------------
Libro ID(1)############( writes: 10 ; reads: 20 ; totalReads: 41 ; finalVersion: true )
Libro ID(2)############( writes: 10 ; reads: 18 ; totalReads: 43 ; finalVersion: true )
Libro ID(3)############( writes: 10 ; reads: 20 ; totalReads: 34 ; finalVersion: true )
Libro ID(4)############( writes: 10 ; reads: 19 ; totalReads: 43 ; finalVersion: true )
Libro ID(5)############( writes: 10 ; reads: 20 ; totalReads: 43 ; finalVersion: true )
Libro ID(6)############( writes: 10 ; reads: 19 ; totalReads: 42 ; finalVersion: true )
Libro ID(7)############( writes: 10 ; reads: 19 ; totalReads: 37 ; finalVersion: true )
Libro ID(8)############( writes: 10 ; reads: 19 ; totalReads: 44 ; finalVersion: true )
Libro ID(9)############( writes: 10 ; reads: 19 ; totalReads: 32 ; finalVersion: true )
Libro ID(10)############( writes: 10 ; reads: 19 ; totalReads: 39 ; finalVersion: true )
Libro ID(11)############( writes: 10 ; reads: 19 ; totalReads: 34 ; finalVersion: true )
Libro ID(12)############( writes: 10 ; reads: 20 ; totalReads: 36 ; finalVersion: true )
Libro ID(13)############( writes: 10 ; reads: 20 ; totalReads: 41 ; finalVersion: true )
Libro ID(14)############( writes: 10 ; reads: 20 ; totalReads: 42 ; finalVersion: true )
Libro ID(15)############( writes: 10 ; reads: 20 ; totalReads: 35 ; finalVersion: true )
Libro ID(16)############( writes: 10 ; reads: 19 ; totalReads: 50 ; finalVersion: true )
Libro ID(17)############( writes: 10 ; reads: 19 ; totalReads: 35 ; finalVersion: true )
Libro ID(18)############( writes: 10 ; reads: 19 ; totalReads: 43 ; finalVersion: true )
Libro ID(19)############( writes: 10 ; reads: 20 ; totalReads: 33 ; finalVersion: true )
Libro ID(20)############( writes: 10 ; reads: 20 ; totalReads: 35 ; finalVersion: true )
Libro ID(21)############( writes: 10 ; reads: 20 ; totalReads: 48 ; finalVersion: true )
Libro ID(22)############( writes: 10 ; reads: 20 ; totalReads: 33 ; finalVersion: true )
Libro ID(23)############( writes: 10 ; reads: 18 ; totalReads: 35 ; finalVersion: true )
Libro ID(24)############( writes: 10 ; reads: 20 ; totalReads: 30 ; finalVersion: true )
-------------------------------------------------------------------------------------
RESULTADO: [ reviews( 240 ) ; reads( 466 ) ; totalReads( 928 ) ; total( 1168 ) ]
-------------------------------------------------------------------------------------
